"Name","Manufacturer","Cals","Protein","Fat","Sodium","Fibre","Carbs","Sugars","Shelf","Potassium","Vitamins"
"Apple Cinnamon Cheerios              ","General Mills",146.66667,2.6666667,2.6666667,240,2,14,13.333333,1,93.33333,"enriched"
"Basic 4                              ","General Mills",173.33333,4,2.6666667,280,2.666667,24,10.666667,3,133.33333,"enriched"
"Cheerios                             ","General Mills",88,4.8,1.6,232,1.6,13.6,0.8,1,84,"enriched"
"Cinnamon Toast Crunch                ","General Mills",160,1.3333333,4,280,0,17.33333,12,2,60,"enriched"
"Clusters                             ","General Mills",220,6,4,280,4,26,14,3,210,"enriched"
"Cocoa Puffs                          ","General Mills",110,1,1,180,0,12,13,2,55,"enriched"
"Count Chocula                        ","General Mills",110,1,1,180,0,12,13,2,65,"enriched"
"Crispy Wheat & Raisins               ","General Mills",133.33333,2.6666667,1.3333333,186.66667,2.666667,14.66667,13.333333,3,160,"enriched"
"Golden Grahams                       ","General Mills",146.66667,1.3333333,1.3333333,373.33333,0,20,12,2,60,"enriched"
"Honey Nut Cheerios                   ","General Mills",146.66667,4,1.3333333,333.33333,2,15.33333,13.333333,1,120,"enriched"
"Kix                                  ","General Mills",73.33333,1.3333333,0.6666667,173.33333,0,14,2,2,26.66667,"enriched"
"Lucky Charms                         ","General Mills",110,2,1,180,0,12,12,2,55,"enriched"
"Multi-Grain Cheerios                 ","General Mills",100,2,1,220,2,15,6,1,90,"enriched"
"Oatmeal Raisin Crisp                 ","General Mills",260,6,4,340,3,27,20,3,240,"enriched"
"Raisin Nut Bran                      ","General Mills",200,6,4,280,5,21,16,3,280,"enriched"
"Total Corn Flakes                    ","General Mills",110,2,1,200,0,21,3,3,35,"100%    "
"Total Raisin Bran                    ","General Mills",140,3,1,190,4,15,14,3,230,"100%    "
"Total Whole Grain                    ","General Mills",100,3,1,200,3,16,3,3,110,"100%    "
"Triples                              ","General Mills",146.66667,2.6666667,1.3333333,333.33333,0,28,4,3,80,"enriched"
"Trix                                 ","General Mills",110,1,1,140,0,13,12,2,25,"enriched"
"Wheaties                             ","General Mills",100,3,1,200,3,17,3,1,110,"enriched"
"Wheaties Honey Gold                  ","General Mills",146.66667,2.6666667,1.3333333,266.66667,1.333333,21.33333,10.666667,1,80,"enriched"
