"Country","YR2002","YR2012"
"Afghanistan                                   ",4.9,21.2
"Benin                                         ",18.6,12.9
"Bangladesh                                    ",51.5,61.6
"Bosnia and Herzegovina                        ",47.5,45.8
"Belize                                        ",56.1,55.2
"China                                         ",84.375,88.25
"Cote d'Ivoire                                 ",15,18.2
"Cameroon                                      ",22.45,23.4
"Comoros                                       ",25.7,19.4
"Costa Rica                                    ",80,76.2
"Cuba                                          ",73.3,74.3
"Djibouti                                      ",9,19
"Dominican Republic                            ",67.9,71.9
"Algeria                                       ",60.5,55.9
"Ethiopia                                      ",5.7,28.6
"Fiji                                          ",40.96666667,44.3
"Gabon                                         ",32.7,31.1
"Ghana                                         ",18.5,34.3
"Guinea                                        ",6.2,5.6
"Equatorial Guinea                             ",10.1,12.6
"Honduras                                      ",61.8,73.2
"Haiti                                         ",28.1,34.5
"Indonesia                                     ",55.1,61.9
"Iran, Islamic Rep.                            ",73.33333333,77.42
"Iraq                                          ",43.5,52.5
"Jordan                                        ",54.2,61.2
"Kazakhstan                                    ",66.1,51
"Kyrgyz Republic                               ",59.5,36.3
"Lao PDR                                       ",32.2,49.8
"Liberia                                       ",10,20.2
"St. Lucia                                     ",47,55.5
"Morocco                                       ",58.4,67.4
"Moldova                                       ",68.05,59.5
"Madagascar                                    ",21.06666667,39.8
"Mozambique                                    ",5.6,11.6
"Mauritania                                    ",8,11.4
"North America                                 ",72.92021287,76.4
"Niger                                         ",11.1,13.9
"Nigeria                                       ",15.3,16.3
"Nicaragua                                     ",64.45,80.4
"Nepal                                         ",38.3,49.7
"Pakistan                                      ",22.83333333,32.2
"Peru                                          ",68.9,74.96666667
"Philippines                                   ",48.01666667,52
"South Asia                                    ",45.46108713,52.92016551
"Senegal                                       ",11.7,15.45
"Sierra Leone                                  ",4.3,16.6
"Thailand                                      ",76.4,79.3
"Tajikistan                                    ",33.9,27.9
"Tonga                                         ",32.45,34.1
"Tunisia                                       ",64.05,62.5
"Uganda                                        ",22.8,30
"Ukraine                                       ",69.55,65.4
"Vietnam                                       ",74.76,77.8
"Vanuatu                                       ",28,49
"Congo, Dem. Rep.                              ",31.4,20.4
"Zimbabwe                                      ",53.5,58.5
