"Villages","Maizeyield","Incidencerate10000"
"Gulim                                        ","High",291
"Denbun                                       ","High",43
"Wadra                                        ","High",133
"Zalimashebekuma                              ","High",219
"Adel Agata                                   ","High",176
"Fetamsantom                                  ","High",301
"Ziyewshewun                                  ","High",466
"Fzelsertekez                                 ","High",246
"Woinmaambaye                                 ","Medium",59
"Wangedam                                     ","Medium",83
"Tiatia                                       ","Medium",164
"Bagunakebesi                                 ","Medium",101
"Alefabasi                                    ","Medium",70
"Wehindurbete                                 ","Low",4
"Arbisi                                       ","Low",6
"Wendgi                                       ","Low",40
"Shakawa                                      ","Low",38
"Agnifereda                                   ","Low",3
"Jibgedel                                     ","Low",15
