"","midparentColorScore","offspringColorScore"
"1",-0.62,-0.33
"2",-0.27,-0.17
"3",-0.25,-0.23
"4",-0.12,-0.49
"5",0.12,-0.59
"6",0.18,-0.55
"7",0.06,-0.39
"8",0.18,-0.28
"9",0.16,-0.23
"10",0.22,-0.13
"11",-0.54,-0.07
"12",-0.3,-0.06
"13",-0.32,0.09
"14",-0.32,0.3
"15",-0.35,0.34
"16",-0.18,0.46
"17",-0.17,0.41
"18",-0.1,0.52
"19",0.15,0.53
"20",-0.09,0.23
"21",-0.25,0.1
"22",-0.21,0.07
"23",-0.18,0.08
"24",-0.13,0.03
"25",-0.08,0
"26",-0.12,-0.18
"27",-0.09,-0.21
"28",-0.05,-0.17
"29",-0.03,-0.23
"30",-0.02,-0.11
"31",0,-0.12
"32",0.02,-0.1
"33",-0.03,-0.03
"34",0.01,-0.06
"35",0.03,-0.06
"36",0.01,-0.03
"37",0.04,-0.01
"38",-0.05,0.03
"39",-0.06,0.07
"40",-0.06,0.13
"41",-0.04,0.21
"42",-0.01,0.25
"43",0.07,0.29
"44",0.15,0.29
"45",0.31,0.35
"46",0.3,0.28
"47",0.3,0.22
"48",0.16,0.22
"49",0.14,0.2
"50",0.12,0.19
"51",0.05,0.17
"52",0.02,0.17
"53",-0.02,0.16
"54",0.01,0.09
"55",0.01,0.1
"56",0.05,0.1
"57",0.07,0.07
"58",0.07,0.07
"59",0.07,0.08
"60",0.09,0.1
"61",0.18,0.18
"62",0.28,0.18
"63",0.28,0.17
"64",0.3,0.15
"65",0.18,0.11
"66",0.23,0.15
"67",0.21,0.1
"68",0.22,0.08
"69",0.16,0.06
"70",0.28,0.11
"71",0.27,0.06
"72",0.3,0.07
"73",0.4,0.04
"74",0.42,-0.05
"75",0.39,0.02
"76",0.38,0.02
"77",0.35,-0.06
"78",0.24,-0.05
"79",0.24,-0.02
"80",0.2,-0.02
"81",0.16,0
"82",0.08,-0.03
"83",0.08,-0.04
"84",0.13,-0.06
