"Sex","BrainWt","BodyWt"
"Female",2.4,6.3
"Male",2,6.5
"Male",2,6.5
"Female",2,7
"Female",2.2,7.1
"Female",2.1,7.2
"Male",2.2,7.2
"Female",2.1,7.3
"Female",2.3,7.3
"Male",2.4,7.3
"Female",2,7.4
"Female",2.1,7.6
"Male",2.2,7.6
"Male",2.6,7.7
"Female",2.3,7.9
"Male",2.2,7.9
"Male",2.4,7.9
"Male",2.4,7.9
"Male",2.5,7.9
"Male",2.7,8
"Female",2.1,8.1
"Female",2.1,8.2
"Female",2.1,8.3
"Male",2.6,8.3
"Female",2.3,8.4
"Female",2.1,8.5
"Female",2.7,8.5
"Male",2.2,8.5
"Male",2.5,8.6
"Female",2.1,8.7
"Female",2.2,8.7
"Female",2.4,8.7
"Female",2.6,8.7
"Female",2.4,8.8
"Male",2.5,8.8
"Male",2.5,8.8
"Female",2.3,9
"Female",2.3,9
"Female",2.5,9
"Male",2.7,9
"Female",2.2,9.1
"Male",2.2,9.1
"Male",2.4,9.1
"Male",2.8,9.1
"Male",2.4,9.3
"Male",2.5,9.3
"Male",2.6,9.4
"Male",2.6,9.4
"Male",2.9,9.4
"Female",2,9.5
"Female",2.3,9.5
"Female",2.3,9.6
"Male",2.2,9.6
"Male",2.2,9.6
"Male",2.3,9.6
"Male",2.7,9.6
"Male",2.7,9.6
"Female",2.2,9.7
"Female",2.3,9.7
"Female",2.1,9.8
"Male",2.7,9.8
"Female",2.9,9.9
"Male",3.1,9.9
"Male",2.8,10
"Male",3,10
"Female",2.3,10.1
"Female",2.3,10.1
"Female",2.6,10.1
"Female",2.6,10.1
"Female",2.9,10.1
"Female",2.9,10.1
"Male",2.1,10.1
"Male",2.9,10.1
"Female",2.4,10.2
"Female",2.7,10.2
"Male",2.8,10.2
"Male",2.7,10.4
"Male",3,10.4
"Male",2.6,10.5
"Female",2.3,10.6
"Female",3,10.6
"Male",2.9,10.6
"Male",3,10.6
"Male",2.2,10.7
"Female",2.7,10.8
"Female",2.2,10.9
"Female",2.5,10.9
"Female",2.2,11
"Male",2.5,11
"Male",3.7,11
"Male",2.7,11.1
"Female",2.3,11.2
"Male",3.4,11.2
"Male",2.9,11.3
"Male",2.8,11.4
"Male",2.6,11.5
"Male",3.1,11.5
"Male",3.3,11.5
"Male",3,11.6
"Male",3.2,11.6
"Male",3.5,11.7
"Male",2.9,11.8
"Male",3.6,11.8
"Male",3.2,11.9
"Male",2.7,12
"Male",2.8,12
"Male",3.3,12
"Male",3.1,12.1
"Male",3,12.2
"Male",3.4,12.2
"Male",3.2,12.3
"Male",3,12.4
"Male",3.4,12.4
"Male",2.7,12.5
"Male",3.1,12.5
"Male",2.5,12.7
"Male",2.5,12.7
"Male",3,12.7
"Male",3.4,12.8
"Male",3.5,12.9
"Female",3,13
"Male",3.1,13
"Male",3.2,13
"Male",2.8,13.3
"Male",3,13.3
"Male",3.6,13.3
"Male",2.8,13.5
"Male",3.2,13.5
"Male",3.2,13.6
"Male",3,13.8
"Male",3.3,14.1
"Male",3.1,14.3
"Male",3.4,14.4
"Male",3.6,14.8
"Male",3.3,14.9
"Male",3.6,15
"Male",3.3,15.4
