"sex","height","weight"
"male",66,140
"male",72,145
"male",73.5,160
"male",73,190
"male",69,155
"male",73,165
"male",72,150
"male",74,190
"male",72,195
"male",71,138
"male",74,160
"male",72,155
"male",70,153
"male",67,145
"male",71,170
"male",72,175
"male",69,175
"male",73,170
"male",74,180
"male",66,135
"male",71,170
"male",70,157
"male",70,130
"male",75,185
"male",74,190
"male",71,155
"male",69,170
"male",70,155
"male",72,215
"male",67,150
"male",69,145
"male",73,155
"male",73,155
"male",71,150
"male",68,155
"male",69.5,150
"male",73,180
"male",75,160
"male",66,135
"male",69,160
"male",66,130
"male",73,155
"male",68,150
"male",74,148
"male",73.5,155
"male",70,150
"male",67,140
"male",72,180
"male",75,190
"male",68,145
"male",69,150
"male",71.5,164
"male",71,140
"male",72,142
"male",69,136
"male",67,123
"male",68,155
"female",61,140
"female",66,120
"female",68,130
"female",68,138
"female",63,121
"female",70,125
"female",68,116
"female",69,145
"female",69,150
"female",62.75,112
"female",68,125
"female",66,130
"female",65.5,120
"female",66,130
"female",62,131
"female",62,120
"female",63,118
"female",67,125
"female",65,135
"female",66,125
"female",65,118
"female",65,122
"female",65,115
"female",64,102
"female",67,115
"female",69,150
"female",68,110
"female",63,116
"female",62,108
"female",63,95
"female",64,125
"female",68,133
"female",62,110
"female",67,150
"female",61.75,108
