"stress","symptoms"
1,65
1,68
2,61
3,61
3,100
3,100
4,64
5,58
5,62
6,78
7,66
7,83
8,74
8,77
8,88
9,63
9,72
9,80
9,84
9,86
10,81
11,78
11,90
12,79
12,82
12,82
12,111
13,74
13,78
13,80
13,83
13,106
14,92
14,105
14,118
15,65
15,66
15,81
15,92
15,99
15,107
15,109
16,80
16,82
16,86
16,87
17,71
17,73
17,73
18,89
18,94
18,99
19,109
20,70
20,86
20,91
20,95
20,100
21,74
21,95
22,83
22,85
22,88
22,91
22,91
23,62
23,74
23,84
23,93
24,79
24,93
24,127
25,102
26,88
27,94
27,96
27,97
28,99
29,101
30,70
30,99
31,125
33,77
34,75
34,104
34,112
34,121
36,101
36,111
37,86
37,88
38,87
38,89
39,96
43,102
43,121
44,70
45,81
45,107
45,131
45,135
52,102
55,125
58,102
